HouseID,Location,HouseType,Bedrooms,Bathrooms,SquareFootage,YearBuilt,Garage,Garden,Basement,NearbySchools,CrimeRate,DistanceToCityCenter,Price
44,Suburban,Apartment,2,1,1768,1959,No,No,No,6,8.01,12.34,491143.98
45,Suburban,Semi-Detached,2,3,4019,2006,Yes,Yes,No,3,9.02,23.76,847377.99
46,Rural,Semi-Detached,5,1,3936,1994,Yes,Yes,No,7,5.52,23.64,788441.08
47,Urban,Semi-Detached,4,2,3938,1999,Yes,Yes,Yes,4,8.02,22.88,270330.17
48,Suburban,Townhouse,1,3,4493,2013,No,Yes,Yes,1,2.68,22.23,271305.04
49,Urban,Semi-Detached,1,3,4269,1951,No,No,Yes,4,5.93,1.42,737186.42
50,Urban,Townhouse,3,2,1810,1994,No,No,Yes,9,6.73,10.31,752631.86
51,Urban,Apartment,5,2,2127,2011,Yes,Yes,Yes,8,5.42,22.42,219954.88
52,Suburban,Apartment,3,2,3677,1963,Yes,No,Yes,9,2.05,19.0,440621.37
53,Urban,Townhouse,1,1,1536,2023,Yes,Yes,No,0,7.61,11.69,834482.32
54,Suburban,Detached,2,3,1669,1964,No,No,Yes,1,8.55,19.44,125449.62
55,Urban,Semi-Detached,4,1,977,1963,Yes,Yes,Yes,9,6.72,5.6,405199.83
56,Rural,Semi-Detached,5,1,3178,1980,Yes,No,Yes,7,2.52,15.2,662313.98
57,Rural,Semi-Detached,2,1,1214,1978,No,Yes,Yes,4,1.67,13.56,782532.45
58,Suburban,Townhouse,4,1,2176,1976,Yes,No,No,8,3.71,14.55,670024.99
59,Rural,Apartment,5,3,2662,1958,Yes,Yes,No,5,1.33,18.18,427644.73
60,Rural,Semi-Detached,5,3,1008,1969,Yes,Yes,No,7,8.55,23.77,992353.54
61,Urban,Apartment,1,1,3723,2007,Yes,No,No,0,7.33,6.97,89455.74
62,Suburban,Semi-Detached,2,2,2604,1998,No,No,Yes,8,6.07,19.07,520018.07
63,Urban,Semi-Detached,5,3,881,2006,No,No,No,8,9.01,16.31,534552.27
64,Urban,Townhouse,5,1,1680,1965,No,No,Yes,2,1.99,17.53,277801.62
65,Urban,Detached,4,2,3499,1957,Yes,No,No,0,7.43,11.01,580772.04
66,Urban,Townhouse,1,2,2345,2016,Yes,Yes,Yes,7,2.32,23.64,259054.54
67,Urban,Semi-Detached,3,1,3704,1968,No,No,Yes,7,1.55,12.25,471241.46
68,Urban,Semi-Detached,1,3,1686,2016,Yes,No,No,8,2.2,3.48,460052.56
69,Urban,Detached,3,2,774,1985,No,No,No,5,9.56,17.18,784466.24
70,Suburban,Apartment,2,3,2218,2009,No,No,No,8,4.96,3.66,945462.29
71,Rural,Apartment,2,3,1600,1985,Yes,Yes,No,9,1.44,8.41,242701.09
72,Urban,Semi-Detached,5,2,2360,1960,No,Yes,No,8,6.25,6.09,991941.42
73,Urban,Apartment,2,1,2591,2000,No,Yes,No,3,2.8,13.7,943300.64
74,Urban,Semi-Detached,5,2,1217,2004,No,Yes,No,4,1.06,9.01,157020.54
75,Urban,Detached,1,2,4121,2003,No,No,Yes,5,7.83,4.42,916747.73
76,Urban,Detached,2,3,817,1966,No,Yes,No,5,2.39,19.87,586349.03
77,Urban,Semi-Detached,1,1,1033,2011,No,Yes,Yes,9,9.48,11.98,885008.59
78,Rural,Detached,1,3,2108,1991,Yes,No,Yes,1,6.34,11.63,948353.46
79,Rural,Townhouse,2,2,2276,1973,No,No,No,3,1.78,22.22,865961.84
80,Urban,Townhouse,1,1,3725,1966,No,No,Yes,8,2.96,13.7,432733.71
81,Rural,Detached,2,1,2784,1997,Yes,No,No,6,6.5,17.89,654921.23
82,Suburban,Semi-Detached,2,1,3440,2019,Yes,No,Yes,8,4.04,8.54,491531.8
83,Urban,Semi-Detached,2,1,3064,1956,No,No,No,5,5.79,14.25,398125.52
84,Suburban,Detached,3,1,1744,1963,Yes,Yes,No,6,8.2,18.3,288174.45
85,Suburban,Apartment,1,2,1833,1960,Yes,Yes,No,8,8.13,7.76,469432.53
86,Urban,Townhouse,4,2,4169,1961,No,No,No,3,7.28,17.37,815673.33
87,Rural,Apartment,2,2,1700,1954,Yes,Yes,No,8,8.97,14.43,851821.56
88,Suburban,Semi-Detached,1,3,2294,1954,No,No,Yes,2,2.79,11.14,960105.24
89,Urban,Semi-Detached,5,1,3791,1969,No,No,No,7,2.6,17.97,326085.82
90,Suburban,Apartment,2,1,2585,2003,No,Yes,No,2,8.19,8.26,667877.63
91,Suburban,Detached,2,2,3201,2004,No,Yes,Yes,2,3.89,18.01,709090.0
92,Suburban,Apartment,4,1,1954,2007,Yes,Yes,No,2,5.61,14.0,231765.72
93,Suburban,Apartment,3,3,2433,1979,No,Yes,Yes,8,7.7,6.52,398537.82
94,Rural,Townhouse,3,1,1246,1973,Yes,Yes,No,9,4.56,16.87,375144.01
95,Suburban,Townhouse,2,1,3774,2022,Yes,No,Yes,2,2.17,22.18,986614.5
96,Suburban,Apartment,1,3,1340,1952,No,Yes,No,5,7.12,8.1,960459.63
97,Suburban,Apartment,5,2,4377,1997,No,Yes,No,3,8.35,20.4,830679.5
98,Rural,Semi-Detached,5,2,2995,2020,Yes,No,Yes,1,1.12,8.74,499194.16
99,Suburban,Townhouse,1,1,2018,1971,No,Yes,Yes,2,6.06,20.62,300868.22
100,Suburban,Townhouse,2,3,3231,1963,No,Yes,Yes,4,5.22,1.75,920166.03
101,Rural,Semi-Detached,5,2,2672,1997,No,Yes,Yes,9,3.34,0.68,304641.42
102,Rural,Detached,3,2,4409,1978,Yes,Yes,Yes,3,2.45,3.27,545845.87
103,Rural,Townhouse,1,2,1588,1999,Yes,Yes,No,4,2.69,21.91,282818.9
104,Suburban,Townhouse,4,1,1292,1959,Yes,No,No,0,7.52,13.58,972695.0
105,Rural,Detached,2,3,3331,2020,Yes,Yes,Yes,3,5.83,15.06,89673.53
106,Rural,Townhouse,1,1,1767,1976,No,Yes,Yes,9,9.83,21.13,215632.33
107,Suburban,Townhouse,5,2,2050,1977,No,No,Yes,2,3.19,1.74,776796.78
108,Rural,Detached,2,3,2773,1958,Yes,Yes,No,1,9.61,9.98,193873.02
109,Suburban,Detached,3,1,3012,2020,Yes,No,No,6,5.64,16.26,980382.07
110,Urban,Apartment,2,2,3190,1975,Yes,No,Yes,9,2.31,10.41,355284.7
111,Rural,Semi-Detached,2,2,4278,1957,Yes,No,No,8,2.33,1.29,922713.85
112,Urban,Semi-Detached,3,1,792,1951,Yes,Yes,Yes,0,6.48,16.45,679164.39
113,Suburban,Detached,3,2,3268,2006,No,Yes,No,6,8.48,10.09,652411.61
114,Rural,Detached,2,2,1904,2001,Yes,Yes,Yes,0,7.73,0.97,919603.83
115,Suburban,Townhouse,3,3,2148,2007,Yes,Yes,Yes,4,6.9,4.68,537615.37
116,Urban,Apartment,1,2,3303,1952,No,No,No,0,2.55,5.83,430739.13
117,Suburban,Apartment,3,1,2713,1957,No,No,No,2,1.98,13.01,256741.62
118,Rural,Detached,3,3,4274,2008,No,No,Yes,7,1.0,5.07,187309.38
119,Rural,Townhouse,2,1,3316,1951,Yes,Yes,Yes,3,1.92,9.35,802180.37
120,Urban,Townhouse,1,2,4410,2011,No,No,No,0,7.9,18.89,171541.41
121,Suburban,Semi-Detached,4,3,1741,1998,Yes,Yes,Yes,0,9.06,20.29,424316.67
122,Rural,Semi-Detached,4,3,3554,1969,Yes,No,Yes,7,3.16,19.99,438755.99
123,Urban,Townhouse,5,3,3418,1978,No,No,Yes,7,8.15,17.53,681274.41
124,Rural,Semi-Detached,3,3,3846,1966,Yes,No,Yes,3,2.79,13.77,314588.78
125,Rural,Detached,3,1,1575,2023,Yes,Yes,Yes,3,3.24,13.99,846317.49
126,Suburban,Townhouse,1,2,1897,1971,No,No,Yes,9,3.02,23.86,247109.94
127,Rural,Semi-Detached,4,2,2193,1955,No,No,No,1,1.47,22.01,799691.22
128,Suburban,Apartment,5,3,3934,2011,No,Yes,No,1,2.75,16.42,857271.22
129,Rural,Townhouse,1,2,3114,1980,No,No,Yes,5,4.36,11.98,233521.61
130,Urban,Townhouse,3,1,1537,2011,No,No,Yes,7,4.65,18.36,818945.04
131,Rural,Apartment,4,2,4352,1961,No,Yes,No,6,3.79,2.04,728053.14
132,Suburban,Detached,5,1,1863,1961,No,Yes,Yes,6,5.63,23.64,880659.01
133,Suburban,Apartment,2,1,3149,2012,No,Yes,No,2,4.4,13.92,534469.9
134,Urban,Townhouse,4,2,2062,1965,No,Yes,No,1,9.73,12.82,272163.68
135,Rural,Detached,5,1,1612,1974,No,No,Yes,9,8.27,7.63,916437.75
136,Rural,Semi-Detached,1,1,3452,1971,Yes,No,Yes,6,9.38,0.58,800541.44
137,Urban,Semi-Detached,2,1,2588,1967,Yes,Yes,Yes,3,6.02,2.0,69936.1
138,Rural,Semi-Detached,5,1,3875,1994,Yes,No,No,0,7.11,6.94,942442.91
139,Rural,Townhouse,5,3,1791,2017,No,No,No,0,2.5,13.77,951099.0
140,Suburban,Apartment,3,2,1661,1961,Yes,Yes,Yes,3,7.78,2.55,387538.92
141,Rural,Detached,4,3,1529,1998,Yes,No,Yes,4,3.12,24.32,59517.34
142,Rural,Semi-Detached,3,1,741,1982,Yes,No,Yes,4,2.31,10.57,574910.46
143,Urban,Detached,2,2,661,2012,Yes,No,No,0,1.38,8.25,917991.98
144,Urban,Townhouse,5,1,3566,1967,Yes,Yes,Yes,2,5.25,13.37,168218.27
145,Suburban,Semi-Detached,3,2,3239,2003,No,No,No,5,3.58,2.09,610984.2
146,Rural,Townhouse,4,3,3356,1976,No,No,Yes,9,9.88,21.34,745180.82
147,Rural,Apartment,2,2,1478,1974,No,No,Yes,6,3.25,11.78,177955.37
148,Rural,Townhouse,1,1,1017,1983,Yes,Yes,No,0,8.8,4.87,537609.74
149,Suburban,Townhouse,3,2,1397,2009,Yes,Yes,No,7,3.85,4.46,134364.06
150,Suburban,Apartment,2,2,1282,2003,No,No,No,3,7.74,9.34,580219.87
151,Urban,Detached,1,3,3972,1954,No,No,No,8,6.94,14.55,470009.83
152,Suburban,Apartment,3,1,3331,1985,No,Yes,No,5,6.06,10.71,301463.12
153,Rural,Apartment,2,2,1679,2003,Yes,Yes,No,0,4.75,15.12,860426.51
154,Rural,Townhouse,2,3,584,1985,No,Yes,Yes,1,7.04,17.78,412700.0
155,Suburban,Detached,3,2,2235,2018,No,Yes,No,2,4.67,18.84,714826.22
156,Rural,Semi-Detached,2,1,1533,1988,No,No,Yes,1,5.93,10.32,801148.53
157,Rural,Apartment,5,2,637,2019,No,Yes,Yes,9,6.31,18.07,219696.51
158,Suburban,Detached,3,2,1253,1953,No,Yes,Yes,6,3.41,3.97,163157.83
159,Suburban,Apartment,2,2,3453,2023,Yes,Yes,No,0,4.06,13.07,57443.41
160,Rural,Apartment,1,2,1212,2014,Yes,Yes,No,8,1.16,2.28,340517.49
161,Rural,Apartment,1,1,2703,1989,No,No,Yes,1,8.67,6.48,825157.9
162,Rural,Apartment,5,3,2955,1986,Yes,No,Yes,3,7.8,14.79,784127.54
163,Urban,Townhouse,3,3,3334,2016,No,No,Yes,7,2.65,18.64,878215.64
164,Urban,Detached,2,2,3796,1980,No,No,No,2,4.26,2.84,772570.19
165,Urban,Detached,2,1,1079,1996,Yes,Yes,Yes,8,4.79,5.57,72791.99
166,Suburban,Detached,1,1,3755,1976,Yes,No,No,6,4.01,24.8,416241.76
167,Urban,Apartment,5,1,3766,2000,Yes,No,Yes,9,8.18,8.77,55630.87
168,Suburban,Townhouse,1,1,1053,1969,Yes,Yes,No,2,7.53,7.46,84248.46
169,Suburban,Apartment,1,1,895,1962,No,No,No,2,7.9,2.59,504630.79
170,Urban,Apartment,5,1,2437,2012,Yes,No,Yes,4,9.14,17.52,392005.27
171,Urban,Detached,3,2,2186,1993,No,No,No,4,6.36,12.95,580597.33
172,Urban,Apartment,2,3,2119,1973,No,Yes,Yes,9,6.53,4.36,112852.89
173,Rural,Semi-Detached,3,3,1657,1952,No,Yes,Yes,4,7.5,16.01,608885.11
174,Urban,Apartment,4,2,1832,1959,No,Yes,Yes,8,7.13,13.38,111752.25
175,Rural,Semi-Detached,4,3,2389,2014,No,No,Yes,8,8.83,14.34,452499.99
176,Suburban,Apartment,4,1,1309,1998,Yes,Yes,Yes,5,7.93,24.87,384739.75
177,Rural,Townhouse,5,1,3509,2007,No,Yes,No,6,2.08,1.2,262750.54
178,Urban,Townhouse,1,3,3089,1951,Yes,No,Yes,9,9.36,22.92,346372.7
179,Suburban,Detached,3,1,3580,2015,No,Yes,No,7,7.15,21.13,50497.9
180,Suburban,Apartment,2,1,3534,1980,Yes,No,Yes,8,2.14,10.68,357888.87
181,Suburban,Semi-Detached,4,3,669,2017,Yes,No,Yes,5,7.95,22.08,124487.93
182,Rural,Semi-Detached,3,2,2837,1986,No,Yes,No,7,4.23,16.39,925237.06
183,Urban,Apartment,4,3,3739,2022,No,No,Yes,1,8.25,22.29,120616.24
184,Suburban,Semi-Detached,4,3,3915,1973,Yes,No,Yes,9,9.6,15.07,955450.59
185,Suburban,Townhouse,2,3,4068,1993,No,No,No,7,3.3,5.8,516855.02
186,Suburban,Semi-Detached,5,3,3716,1990,No,Yes,No,1,8.72,14.62,537514.5
187,Rural,Detached,1,2,3984,2023,Yes,No,Yes,7,7.96,4.89,798719.45
188,Rural,Townhouse,5,2,1239,2000,Yes,Yes,Yes,1,7.04,3.95,710610.73
189,Urban,Townhouse,3,1,2341,1991,No,Yes,Yes,2,4.46,16.52,275208.07
190,Rural,Townhouse,5,1,3135,1989,No,No,Yes,6,1.99,23.71,74193.03
191,Suburban,Apartment,3,3,3282,1997,No,No,Yes,8,5.36,14.92,789526.75
192,Urban,Apartment,3,1,4260,1953,No,No,Yes,2,1.95,20.0,173255.66
193,Suburban,Townhouse,1,2,956,2009,Yes,No,Yes,4,5.5,4.62,618450.77
194,Suburban,Apartment,2,1,3248,1988,Yes,No,Yes,8,8.38,16.53,945500.19
195,Rural,Semi-Detached,1,1,3526,1954,No,Yes,Yes,6,9.98,18.46,571971.32
196,Urban,Apartment,5,1,1825,1955,Yes,Yes,No,1,2.78,1.52,321294.6
197,Rural,Apartment,3,3,2593,1963,Yes,No,No,4,2.87,2.88,219862.02
198,Rural,Townhouse,4,1,4465,2019,Yes,Yes,Yes,4,8.3,19.65,75602.42
199,Urban,Detached,4,2,3588,1961,Yes,Yes,No,8,5.22,11.28,642082.7
200,Suburban,Detached,3,2,2101,2011,Yes,Yes,No,1,9.24,10.44,580099.12
201,Suburban,Detached,1,2,1883,1976,Yes,No,Yes,0,7.92,23.05,488639.62
202,Urban,Semi-Detached,2,2,1784,2003,Yes,Yes,No,3,7.63,24.8,234082.86
203,Suburban,Apartment,1,1,1646,1961,No,Yes,No,3,1.92,19.23,274800.27
204,Urban,Detached,3,3,730,1957,No,Yes,No,0,1.32,19.92,960602.55
205,Urban,Townhouse,3,2,3497,2023,Yes,No,No,9,3.85,5.6,69383.88
206,Rural,Detached,2,2,3184,1965,Yes,Yes,No,6,2.96,5.21,395262.93
207,Urban,Detached,5,3,611,2001,Yes,No,Yes,1,7.41,24.53,86871.88
208,Rural,Apartment,5,3,4355,1975,Yes,Yes,Yes,8,5.06,17.53,231990.87
209,Suburban,Apartment,2,2,1092,1957,Yes,No,No,6,5.71,17.32,936479.47
210,Suburban,Apartment,5,2,3817,1994,No,Yes,No,6,8.32,7.51,192084.64
211,Suburban,Semi-Detached,4,3,3406,1968,Yes,No,No,0,5.31,22.22,620746.04
212,Suburban,Semi-Detached,5,2,2938,1966,No,Yes,Yes,8,5.9,1.59,379597.82
213,Rural,Detached,5,2,2939,2014,No,No,No,9,8.58,7.23,651395.72
214,Suburban,Apartment,5,1,2875,1978,Yes,No,Yes,8,4.88,4.91,859535.72
215,Urban,Detached,4,3,1738,1963,Yes,Yes,No,1,1.75,17.92,322217.19
216,Urban,Townhouse,5,1,2387,1966,Yes,Yes,No,9,5.7,18.03,124691.98
217,Urban,Townhouse,4,1,3294,1962,No,No,Yes,8,6.21,13.6,243970.9
218,Rural,Apartment,2,3,2914,2012,No,No,Yes,1,5.61,0.63,467135.7
219,Suburban,Apartment,1,1,2629,1982,No,Yes,Yes,1,3.32,21.91,539310.67
220,Suburban,Townhouse,2,2,3353,1978,Yes,No,No,7,3.01,23.91,944800.51
221,Suburban,Apartment,1,1,3369,1986,Yes,Yes,No,2,4.33,5.46,65296.88
222,Rural,Semi-Detached,2,3,1599,1995,Yes,Yes,Yes,2,2.5,21.13,769745.72
223,Urban,Semi-Detached,1,2,4098,1973,Yes,No,No,6,6.99,24.35,118884.25
224,Urban,Apartment,1,2,4303,1963,Yes,Yes,Yes,9,6.53,8.51,124026.0
225,Suburban,Townhouse,3,2,2026,1954,Yes,No,Yes,5,6.69,5.03,671425.68
226,Urban,Detached,1,2,4313,2002,No,Yes,No,6,3.02,24.45,913485.93
227,Urban,Apartment,1,1,2469,1979,No,Yes,No,5,3.22,1.96,323311.52
228,Rural,Apartment,3,1,1451,2009,Yes,Yes,No,8,8.09,7.26,305840.87
229,Rural,Detached,5,2,2002,2022,Yes,Yes,No,1,7.21,18.68,636826.23
230,Rural,Apartment,5,3,871,1977,No,Yes,No,7,8.88,15.63,787466.79
231,Rural,Detached,3,2,3836,1975,No,Yes,No,5,4.63,17.27,875511.16
232,Suburban,Townhouse,4,1,2811,1967,No,Yes,No,3,5.93,17.85,287220.84
233,Rural,Semi-Detached,1,2,609,1985,Yes,Yes,Yes,5,7.65,17.31,753189.22
234,Urban,Townhouse,1,1,4486,1957,No,Yes,Yes,5,9.77,8.88,341851.49
235,Suburban,Semi-Detached,3,2,2854,1967,No,Yes,No,9,9.91,8.13,567571.32
236,Urban,Detached,3,3,1723,2007,No,Yes,Yes,2,9.99,11.0,231309.85
237,Urban,Semi-Detached,4,2,725,1981,No,Yes,Yes,7,9.01,20.29,188701.92
238,Urban,Townhouse,5,3,2732,1998,No,No,Yes,4,6.76,23.49,938538.37
239,Rural,Semi-Detached,2,3,3511,1997,Yes,No,Yes,9,1.06,11.65,569839.29
240,Rural,Detached,5,2,530,2020,Yes,Yes,No,3,7.3,2.6,54360.07
241,Suburban,Semi-Detached,1,3,1113,2014,No,Yes,Yes,1,3.15,23.49,803764.72
242,Suburban,Apartment,3,3,2294,1982,Yes,No,Yes,9,1.51,2.47,706326.63
243,Rural,Townhouse,4,1,598,1999,Yes,Yes,No,0,7.27,4.4,359588.66
244,Urban,Apartment,5,1,1862,1953,No,Yes,Yes,6,7.8,21.76,490766.07
245,Suburban,Detached,4,3,1310,1985,Yes,Yes,Yes,9,6.93,14.01,477385.52
246,Rural,Semi-Detached,5,2,2320,1977,Yes,No,No,2,4.29,9.14,311031.21
247,Rural,Apartment,1,3,3837,1952,No,Yes,Yes,2,5.6,23.31,981529.19
248,Rural,Apartment,2,2,3199,1955,No,No,No,2,9.41,24.03,566690.83
249,Urban,Semi-Detached,4,1,1313,1994,Yes,No,No,9,7.57,8.6,902415.47
250,Rural,Semi-Detached,4,2,2321,1972,Yes,Yes,No,2,5.54,21.78,606087.62
251,Rural,Townhouse,2,3,3921,1956,Yes,No,Yes,1,6.34,17.12,705673.97
252,Rural,Apartment,4,3,1519,2010,No,No,Yes,5,9.35,7.23,78065.32
253,Rural,Apartment,4,3,3525,2014,Yes,No,No,9,4.54,23.57,536227.62
254,Suburban,Detached,5,3,4299,1955,Yes,Yes,No,2,1.92,2.05,735212.94
255,Suburban,Townhouse,5,3,4115,1973,No,Yes,No,0,3.93,8.29,165769.89
256,Rural,Detached,2,2,4028,1986,Yes,No,Yes,9,4.74,10.21,694408.71
257,Urban,Apartment,1,3,4386,1994,No,Yes,Yes,8,3.46,17.42,130058.62
258,Suburban,Detached,4,1,2635,2000,Yes,No,No,5,5.76,1.44,816671.77
259,Rural,Apartment,1,3,1586,1994,No,Yes,Yes,5,3.74,22.3,978894.65
260,Suburban,Apartment,2,2,1421,2012,Yes,Yes,Yes,9,1.93,16.65,645397.87
261,Suburban,Detached,2,3,1910,1978,Yes,No,No,8,2.69,7.24,123224.0
262,Urban,Detached,5,3,4362,1974,No,Yes,Yes,1,9.26,16.63,607415.78
263,Rural,Semi-Detached,4,2,1982,1959,No,No,Yes,9,6.67,13.65,753819.93
264,Rural,Semi-Detached,3,3,3133,1984,No,Yes,No,8,3.83,8.74,936441.2
265,Urban,Semi-Detached,2,2,3365,2004,No,No,Yes,2,4.3,1.2,93185.76
266,Urban,Apartment,4,3,3479,1974,No,Yes,Yes,2,5.44,14.0,786290.19
267,Rural,Detached,1,1,2159,1994,No,No,Yes,2,7.06,2.51,175952.62
268,Rural,Townhouse,5,3,3840,1961,No,Yes,No,0,6.24,20.35,801057.06
269,Urban,Apartment,1,2,2417,1953,Yes,Yes,Yes,9,9.39,2.67,894274.77
270,Suburban,Townhouse,2,1,1296,2016,Yes,No,Yes,6,6.63,11.0,868180.69
271,Suburban,Detached,2,2,2457,1966,Yes,Yes,Yes,9,9.2,11.15,670229.5
272,Urban,Apartment,1,3,3566,2022,Yes,No,Yes,6,1.05,14.13,525727.35
273,Suburban,Townhouse,2,1,1512,2014,Yes,Yes,Yes,1,9.02,1.47,880857.38
274,Urban,Townhouse,4,2,3520,2002,Yes,No,No,5,7.49,5.49,543117.7
275,Suburban,Semi-Detached,2,1,3180,2006,Yes,No,Yes,3,2.55,5.39,230605.57
276,Suburban,Semi-Detached,5,1,845,1977,No,No,No,6,3.37,15.17,945691.38
277,Rural,Semi-Detached,4,2,1223,1965,Yes,No,Yes,6,5.89,6.96,404626.13
278,Rural,Apartment,3,1,3448,1970,No,No,No,3,2.12,4.03,643131.58
279,Suburban,Detached,2,2,4231,1991,Yes,No,No,2,8.07,0.95,239188.52
280,Suburban,Detached,2,1,1601,2003,No,No,Yes,6,8.12,21.09,155012.65
281,Rural,Semi-Detached,5,1,1888,1981,Yes,No,No,8,3.71,24.3,573486.53
282,Rural,Semi-Detached,5,1,1537,1987,Yes,Yes,Yes,3,1.63,17.73,576864.82
283,Rural,Semi-Detached,1,3,635,2019,Yes,Yes,No,5,9.9,10.61,401255.22
284,Urban,Townhouse,1,3,1827,1987,Yes,Yes,Yes,6,3.26,3.49,346151.61
285,Suburban,Semi-Detached,1,2,2944,2003,No,Yes,Yes,9,1.61,12.14,405464.81
286,Rural,Townhouse,5,1,1291,2009,Yes,No,Yes,2,3.97,11.7,805388.32
287,Suburban,Detached,1,2,578,1996,No,No,Yes,4,9.72,10.79,389848.05
288,Urban,Apartment,1,3,2278,1961,Yes,Yes,No,0,8.14,9.77,925304.04
289,Urban,Apartment,3,3,1204,2002,Yes,Yes,Yes,5,5.32,12.67,157314.34
290,Rural,Apartment,1,3,1481,1982,Yes,No,Yes,4,3.75,2.29,934997.48
291,Urban,Apartment,2,3,1941,1977,Yes,Yes,Yes,6,4.81,1.44,705070.61
292,Suburban,Townhouse,5,2,1765,1952,No,No,No,8,1.16,2.07,377133.38
293,Rural,Townhouse,4,1,1574,1975,No,Yes,Yes,3,7.47,5.4,56512.46
294,Suburban,Semi-Detached,3,2,1243,2003,No,No,No,8,1.9,7.31,812310.04
295,Suburban,Townhouse,5,1,4342,1989,Yes,No,No,5,5.67,4.65,970861.09
296,Urban,Semi-Detached,5,3,2931,2015,Yes,Yes,Yes,4,6.09,6.67,983317.39
297,Urban,Semi-Detached,2,1,874,2017,Yes,Yes,No,1,1.02,5.05,452234.95
298,Urban,Apartment,1,3,2253,1996,Yes,No,Yes,0,9.82,4.19,116979.18
299,Urban,Townhouse,2,2,2753,1951,No,Yes,No,7,3.72,7.68,348066.1
300,Urban,Townhouse,1,1,4397,1991,No,Yes,Yes,5,1.7,10.24,344253.22
